what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1301064302504
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1301064302509
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1301064302531
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1301064302534
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1301064302540
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1301064302581
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1301064302581
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1301064302584
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1301064302585
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1301064302587
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1301064302589
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1301064302591
os,sysinfo,,,"win32",1301064302600
arch,sysinfo,,,"x86",1301064302600
ws,sysinfo,,,"win32",1301064302600
locale,sysinfo,,,"en_US",1301064302600
processors,sysinfo,,,"2",1301064302600
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301064302600
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1301064302600
java.specification.name,sysinfo,,,"Java Platform API Specification",1301064302600
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301064302600
java.specification.version,sysinfo,,,"1.6",1301064302600
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301064302600
